original_title,vote_average,genres,cast,id,director,keywords
Ernest et Célestine,7.6,"['Animation', 'Comedy', 'Drama', 'Family']","['Anne-MarieLoop', 'LambertWilson', 'PatriceMelennec', 'PaulineBrunner']",126319,Stéphane Aubier,"['bear', 'friendship', 'mouse', 'musician', 'prejudice']"
The Golden Child,5.6,"['Action', 'Adventure', 'Comedy']","['CharlesDance', 'CharlotteLewis', 'EddieMurphy', 'VictorWong']",10136,Michael Ritchie,"['demon', 'evil', 'missingperson', 'monk', 'mysticism', 'reluctanthero', 'socialworker', 'tibet', 'wretch']"
Think Like a Man,6.9,"['Comedy', 'Romance']","['JerryFerrara', 'MeaganGood', 'MichaelEaly', 'ReginaHall']",67660,Tim Story,"['advice', 'africanamericancomedy', 'duringcreditsstinger', 'ensemblecast', 'love', 'readingabook', 'relationship', 'turningthetables']"
Barbershop,6.2,"['Comedy', 'Drama']","['AnthonyAnderson', 'CedrictheEntertainer', 'IceCube', 'SeanPatrickThomas']",10611,Tim Story,"['debt', 'hairdresser', 'hoodlum', 'meeting', 'neighbor', 'shop']"
Star Trek II: The Wrath of Khan,7.3,"['Action', 'Adventure', 'ScienceFiction', 'Thriller']","['DeForestKelley', 'JamesDoohan', 'LeonardNimoy', 'WilliamShatner']",154,Nicholas Meyer,"['asteroid', 'cadet', 'cetialphav', 'genesis', 'genetics', 'midlifecrisis', 'radiation', 'selfsacrifice', 'simulator', 'spaceopera', 'terraforming', 'ussenterprise', 'ussreliant']"
Ace Ventura: Pet Detective,6.4,"['Comedy', 'Mystery']","['CourteneyCox', 'JimCarrey', 'SeanYoung', 'ToneLoc']",3049,Tom Shadyac,"['dolphin', 'mascot', 'pets', 'privatedetective']"
WarGames,7.0,"['ScienceFiction', 'Thriller']","['AllySheedy', 'DabneyColeman', 'JohnWood', 'MatthewBroderick']",860,John Badham,"['artificialintelligence', 'coldwar', 'computer', 'fbi', 'government', 'hacker', 'norad', 'nuclearthreat', 'prosecution', 'videogame']"
Witness,7.0,"['Crime', 'Drama', 'Romance', 'Thriller']","['HarrisonFord', 'JosefSommer', 'KellyMcGillis', 'LukasHaas']",9281,Peter Weir,"['amish', 'barnraising', 'corruption', 'detective', 'lancaster', 'pa', 'policebrutality', 'suspense']"
Act of Valor,6.3,"['Action', 'Thriller', 'War']","['EmilioRivera', 'GonzaloMenendez', 'NestorSerrano', 'RoselynSánchez']",75674,Mike McCoy,"['counterplot', 'duringcreditsstinger', 'heroism', 'militarylife', 'nationalsecurity', 'navy', 'navylife', 'navyseal', 'pistol', 'pregnantwife', 'scubadiving', 'secretplot', 'silverstar', 'submarine', 'terroristplot', 'valor']"
Step Up,6.7,"['Crime', 'Drama', 'Music', 'Romance']","['ChanningTatum', 'DamaineRadcliff', 'DeShawnWashington', 'JennaDewan']",9762,Anne Fletcher,"['artschool', 'baltimore', 'dance', 'dancing', 'newlove', 'womandirector']"
Beavis and Butt-Head Do America,6.5,"['Animation', 'Comedy']","['BruceWillis', 'DemiMoore', 'MikeJudge', 'RobertStack']",3179,Mike Judge,"['adultanimation', 'basedontvseries', 'casino', 'hotel', 'lasvegas', 'roadmovie', 'sperm', 'sun', 'swatteam', 'television', 'washingtond.c.']"
Jackie Brown,7.3,"['Comedy', 'Crime', 'Romance']","['BridgetFonda', 'PamGrier', 'RobertForster', 'SamuelL.Jackson']",184,Quentin Tarantino,"['airport', 'armsdeal', 'drug', 'police', 'underworld', 'weapon']"
Harold & Kumar Escape from Guantanamo Bay,6.2,"['Adventure', 'Comedy']","['JohnCho', 'KalPenn', 'NeilPatrickHarris', 'RobCorddry']",13335,Jon Hurwitz,"['aftercreditsstinger', 'duringcreditsstinger', 'terrorist']"
Chronicle,6.6,"['Drama', 'ScienceFiction', 'Thriller']","['AlexRussell', 'DaneDeHaan', 'MichaelB.Jordan', 'MichaelKelly']",76726,Josh Trank,"['abuse', 'aftercreditsstinger', 'bittersweet', 'comingofage', 'foundfootage', 'friendship', 'loneliness', 'outcast', 'seattle', 'student', 'superpower', 'teenager', 'telekinesis']"
Yentl,6.2,"['Drama', 'Music', 'Romance']","['AmyIrving', 'BarbraStreisand', 'MandyPatinkin', 'NehemiahPersoff']",10269,Barbra Streisand,"['boysschool', 'disguise', 'music', 'studies', 'unhappiness', 'womandirector']"
Time Bandits,6.6,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'ScienceFiction']","['JohnCleese', 'MichaelPalin', 'SeanConnery', 'ShelleyDuvall']",36819,Terry Gilliam,"['burglary', 'cage', 'goodvsevil', 'independentfilm', 'magic', 'map', 'minotaur', 'steampunk', 'tank', 'timetravel', 'titanic', 'treasure']"
Crossroads,4.7,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Music', 'Romance']","['AnsonMount', 'BritneySpears', 'TarynManning', 'ZoeSaldana']",17130,Tamra Davis,"['audition', 'chickflick', 'dancing', 'dream', 'fatherdaughterrelationship', 'friendship', 'girl', 'graduation', 'highschool', 'hospital', 'impliedrape', 'journey', 'karaoke', 'kiss', 'motel', 'motherdaughterestrangement', 'ontheroad', 'popmusic', 'popsinger', 'rebelliousdaughter', 'roadtrip', 'sex', 'singing', 'songwriting', 'teenagepregnancy', 'teenager', 'unfaithfulboyfriend', 'virgin', 'womandirector', 'women']"
Project X,6.5,"['Comedy', 'Crime']","['DaxFlame', 'JonathanDanielBrown', 'OliverCooper', 'ThomasMann']",57214,Nima Nourizadeh,"['bouncycastle', 'dog', 'fakedocumentary', 'flashgrenade', 'highschool', 'highschoolstudent', 'lime', 'party', 'sexdoll', 'swimmingpool', 'teenager', 'teenmovie', 'underwaterphotography', 'vandalism']"
Patton,7.3,"['Drama', 'History', 'War']","['GeorgeC.Scott', 'KarlMalden', 'MichaelStrong', 'StephenYoung']",11202,Franklin J. Schaffner,"['allies', 'biography', 'd-day', 'deadsoldier', 'destiny', 'general', 'historicalfigure', 'normandy', 'steelhelmet', 'tank', 'worldwarii']"
One Hour Photo,6.6,"['Horror', 'Thriller']","['ConnieNielsen', 'ErinDaniels', 'MichaelVartan', 'RobinWilliams']",9357,Mark Romanek,"['birthdayparty', 'cheating', 'hotelroom', 'imagination', 'knife', 'nudity', 'penalty', 'photography', 'photolab', 'sexualabuse', 'sittingonatoilet', 'stalker', 'supermarket', 'suspense', 'unfaithfulhusband', 'voyeurism']"
Quarantine,5.5,"['Horror', 'ScienceFiction', 'Thriller']","['JayHernandez', 'JenniferCarpenter', 'JohnathonSchaech', 'SteveHarris']",13812,John Erick Dowdle,"['foundfootage', 'quarantine', 'remake', 'tvreporter', 'virus']"
The Eye,5.5,"['Drama', 'Horror', 'Thriller']","['AlessandroNivola', 'JessicaAlba', 'ParkerPosey', 'RadeSerbedzija']",9030,David Moreau,"['blindnessandimpairedvision', 'classicalmusic', 'dyinganddeath', 'eye', 'eyeoperation', 'eyesight', 'eyespecialist', 'remake', 'sister', 'sistersisterrelationship']"
Johnson Family Vacation,4.7,"['Comedy', 'Family']","['CedrictheEntertainer', 'ShariHeadley', 'SteveHarvey', 'VanessaWilliams']",19084,Christopher Erskin,['']
How High,6.3,['Comedy'],"['MethodMan', 'MikeEpps', 'ObbaBabatundé', 'Redman']",8386,Jesse Dylan,"['babypowder', 'cannabis', 'canon', 'carpet', 'corpseincoffin', 'cultfilm', 'dean', 'dove', 'doves', 'drugdeal', 'graverobbing', 'harvarduniversity', 'joint', 'marijuanajoint', 'persononfire', 'pillbottle', 'pillbox', 'pimp', 'pot', 'pothead', 'smoke', 'smokering', 'teenmovie', 'university', 'weed+']"
The Muppet Christmas Carol,7.2,"['Comedy', 'Drama', 'Family', 'Fantasy']","['DonAusten', 'DonAusten', 'MeredithBraun', 'MichaelCaine']",10437,Brian Henson,"['charlesdickens', 'christmas', 'christmascarol', 'future', 'holiday', 'musical', 'past', 'scrooge']"
Frida,7.3,"['Drama', 'Romance']","['AlfredMolina', 'MíaMaestro', 'PatriciaReyesSpíndola', 'SalmaHayek']",1360,Julie Taymor,"['disabled', 'loveofoneslife', 'painter', 'womandirector']"
Katy Perry: Part of Me,6.5,"['Documentary', 'Music']","['KatyPerry', 'RachaelMarkarian', 'RussellBrand', 'ShannonWoodward']",101267,Dan Cutforth,['womandirector']
The Fault in Our Stars,7.6,"['Drama', 'Romance']","['AnselElgort', 'LauraDern', 'NatWolff', 'ShaileneWoodley']",222935,Josh Boone,"['amsterdam', 'basedonnovel', 'basedonyoungadultnovel', 'cancer', 'oxygentank', 'starcrossedlovers', 'supportgroup', 'teenager', 'teendrama']"
Rounders,6.9,"['Crime', 'Drama']","['GoranVisnjic', 'GretchenMol', 'JohnTurturro', 'MattDamon']",10220,John Dahl,"['compulsivegambling', 'gain', 'gambling', 'law', 'roulette']"
Top Five,6.3,"['Comedy', 'Drama']","['ChrisRock', 'GabrielleUnion', 'J.B.Smoove', 'RosarioDawson']",284296,Chris Rock,"['comedian', 'fiancéfiancéerelationship', 'interview', 'moviestar', 'reporter']"
Prophecy,5.4,"['Horror', 'ScienceFiction']","['ArmandAssante', 'RichardDysart', 'RobertFoxworth', 'TaliaShire']",31915,John Frankenheimer,"['animalhorror', 'environmental', 'monster', 'mutant', 'nativeamerican', 'toxic']"
Stir of Echoes,6.5,"['Horror', 'Mystery', 'Thriller']","['IlleanaDouglas', 'KathrynErbe', 'KevinBacon', 'KevinDunn']",11601,David Koepp,"['cemetary', 'clairvoyance', 'disappearance', 'ghost', 'grave', 'hauntedhouse', 'hearingvoices', 'hypnosis', 'murder', 'neighborhood', 'obsession', 'paranoia', 'psychic', 'repressedmemory', 'secret', 'suspense', 'tools']"
Philomena,7.4,['Drama'],"['JudiDench', 'MareWinningham', 'SophieKennedyClark', 'SteveCoogan']",205220,Stephen Frears,"['adoption', 'basedontrueevents', 'church', 'faith', 'forgiveness', 'ireland', 'journalist', 'mother', 'nuns', 'search', 'son', 'washingtond.c.']"
The Upside of Anger,6.4,"['Comedy', 'Drama']","['ErikaChristensen', 'JoanAllen', 'KeriRussell', 'KevinCostner']",11354,Mike Binder,"['alcoholic', 'anger', 'college', 'drunk', 'dysfunctional', 'flashback', 'friendship', 'funeral', 'grief', 'lie', 'marijuana', 'neighbor', 'sex']"
The Boys from Brazil,6.6,"['Drama', 'Horror', 'ScienceFiction', 'Thriller']","['GregoryPeck', 'JamesMason', 'LaurenceOlivier', 'LilliPalmer']",16241,Franklin J. Schaffner,"['mengele', 'nazihunter', 'paraguay', 'thirdreich']"
Aquamarine,5.8,"['Comedy', 'Family', 'Fantasy', 'Romance']","['EmmaRoberts', 'JakeMcDorman', 'JoannaJoJoLevesque', 'SaraPaxton']",14191,Elizabeth Allen Rosenbaum,"['femalefriendship', 'mermaid', 'teenager', 'womandirector']"
Paper Towns,6.1,"['Drama', 'Mystery', 'Romance']","['AustinAbrams', 'CaraDelevingne', 'JusticeSmith', 'NatWolff']",286565,Jake Schreier,"['basedonyoungadultnovel', 'classmate', 'friendship', 'highschool', 'teenager']"
My Baby's Daddy,4.3,['Comedy'],"['AnthonyAnderson', 'EddieGriffin', 'MethodMan', 'MichaelImperioli']",26710,Cheryl Dunye,"['babyborn', 'birth', 'expectantmother', 'fatherhood', 'womandirector']"
Nebraska,7.4,"['Adventure', 'Drama']","['BobOdenkirk', 'BruceDern', 'JuneSquibb', 'WillForte']",129670,Alexander Payne,"['aging', 'confrontingthepast', 'dementia', 'fword', 'lincolnnebraska', 'montana', 'nebraska', 'pickuptruck', 'roadtrip', 'smalltown', 'sweepstakes']"
Tales from the Crypt: Demon Knight,6.7,"['Comedy', 'Horror', 'Thriller']","['BillyZane', 'BrendaBakke', 'JadaPinkettSmith', 'WilliamSadler']",9059,Ernest R. Dickerson,"['blood', 'chosenone', 'cryptkeeper', 'demon', 'god', 'goodvsevil', 'jesuschrist', 'key', 'prostitute']"
Max Keeble's Big Move,5.4,"['Comedy', 'Family', 'Fantasy', 'ScienceFiction']","['AlexD.Linz', 'LarryMiller', 'NoraDunn', 'ZenaGrey']",34549,Tim Hill,['']
Young Adult,5.6,"['Comedy', 'Drama']","['CharlizeTheron', 'ElizabethReaser', 'PatrickWilson', 'PattonOswalt']",57157,Jason Reitman,"['alcoholic', 'arresteddevelopment', 'darkcomedy', 'divorce', 'jealousy', 'writer']"
Crank,6.6,"['Action', 'Crime', 'Thriller']","['AmySmart', 'EfrenRamirez', 'JasonStatham', 'JosePabloCantillo']",1948,Brian Taylor,"['adrenalin', 'aftercreditsstinger', 'assassin', 'carchase', 'cellphone', 'defibrillation', 'drug', 'emergencyroom', 'epinephrine', 'fistfight', 'helicopter', 'hitman', 'hospitalgown', 'motorcycle', 'nudity', 'pharmacy', 'poison', 'revenge', 'run', 'shootout', 'sweatshop', 'swimmingpool', 'thoughguy']"
How to Be a Player,5.3,"['Comedy', 'Romance']","['BernieMac', 'BillBellamy', 'EliseNeal', 'LarkVoorhies']",28353,Lionel C. Martin,"['friends', 'party', 'player', 'sex']"
Living Out Loud,5.3,"['Comedy', 'Drama', 'Romance']","['DannyDeVito', 'HollyHunter', 'MartinDonovan', 'QueenLatifah']",46889,Richard LaGravenese,"['brooklynbridge', 'divorce', 'femaleprotagonist', 'relationship']"
Just Wright,6.1,"['Comedy', 'Drama', 'Romance']","['Common', 'JamesPickensJr.', 'PaulaPatton', 'QueenLatifah']",38093,Sanaa Hamri,['womandirector']
Rachel Getting Married,6.1,['Drama'],"['AnneHathaway', 'RosemarieDeWitt', 'RoslynRuff', 'SebastianStan']",14976,Jonathan Demme,"['independentfilm', 'maidofhonor', 'sister']"
The Postman Always Rings Twice,6.4,"['Crime', 'Drama', 'Romance']","['JackNicholson', 'JessicaLange', 'JohnColicos', 'MichaelLerner']",11027,Bob Rafelson,"['adultery', 'basedonnovel', 'confession', 'conspiracy', 'murder', 'neo-noir', 'nudity', 'obsession', 'remake', 'sex', 'suspense']"
Girl with a Pearl Earring,6.4,"['Drama', 'Romance']","['CillianMurphy', 'ColinFirth', 'ScarlettJohansson', 'TomWilkinson']",3635,Peter Webber,"['biography', 'maid', 'painter', 'painting']"
Das Boot,7.9,"['Action', 'Adventure', 'Drama', 'History', 'War']","['HerbertGrönemeyer', 'HubertusBengsch', 'JürgenProchnow', 'KlausWennemann']",387,Wolfgang Petersen,"['atlanticocean', 'basedonnovel', 'comrade', 'convoy', 'depthcharge', 'destroyer', 'drinking', 'duty', 'germansubmarine', 'gibraltar', 'navalbattle', 'periscope', 'sailor', 'submarine', 'suicidalmission', 'terror', 'torpedo', 'uboat', 'warcorrespondent', 'worldwarii']"
Sorority Boys,4.6,['Comedy'],"['BarryWatson', 'HarlandWilliams', 'MelissaSagemiller', 'MichaelRosenbaum']",6020,Wallace Wolodarsky,"['crossdressing', 'drag', 'roofie', 'sorority', 'sororitygirl', 'sororityhouse', 'tshirt', 'university', 'yearbook']"
About Time,7.8,"['Comedy', 'Drama', 'ScienceFiction']","['BillNighy', 'DomhnallGleeson', 'LydiaWilson', 'RachelMcAdams']",122906,Richard Curtis,"['fathersonrelationship', 'londonengland', 'timetravel']"
十面埋伏,7.1,"['Action', 'Adventure', 'Drama', 'Romance']","['AndyLau', 'SongDandan', 'TakeshiKaneshiro', 'ZhangZiyi']",9550,Zhang Yimou,"['dagger', 'government', 'martialarts', 'rebellion', 'swordplay']"
Arbitrage,6.1,"['Drama', 'Thriller']","['BritMarling', 'RichardGere', 'SusanSarandon', 'TimRoth']",60599,Nicholas Jarecki,"['cover-up', 'hedgefund']"
Project Almanac,6.4,"['ScienceFiction', 'Thriller']","['JonnyWeston', 'SamLerner', 'SofiaBlack-DElia', 'VirginiaGardner']",227719,Dean Israelite,"['foundfootage', 'teenager', 'timemachine', 'timetravel']"
Cadillac Records,6.9,"['Drama', 'History', 'Music']","['AdrienBrody', 'BeyoncéKnowles', 'GabrielleUnion', 'JeffreyWright']",14299,Darnell Martin,['womandirector']
Screwed,4.9,"['Action', 'Comedy']","['DannyDeVito', 'DaveChappelle', 'ElaineStritch', 'NormMacdonald']",19419,Scott Alexander,['']
Fortress,5.7,"['Action', 'ScienceFiction', 'Thriller']","['ChristopherLambert', 'CliftonCollinsJr', 'KurtwoodSmith', 'LorynLocklin']",12088,Stuart Gordon,"['cyborg', 'dystopia', 'escape', 'future', 'marriedcouple', 'populationcontrol', 'prison']"
For Your Consideration,5.9,"['Comedy', 'Drama']","['CatherineOHara', 'ChristopherMoynihan', 'HarryShearer', 'ParkerPosey']",14799,Christopher Guest,['']
Celebrity,6.0,"['Comedy', 'Drama']","['JoeMantegna', 'JudyDavis', 'KennethBranagh', 'LeonardoDiCaprio']",9466,Woody Allen,"['ex-wife', 'exzentrik', 'independentfilm', 'reporter', 'spectacle']"
Running with Scissors,5.8,"['Comedy', 'Drama']","['AnnetteBening', 'BrianCox', 'JosephCross', 'JosephFiennes']",7510,Ryan Murphy,"['1970s', 'adoption', 'becominganadult', 'gay', 'marriagecrisis', 'sistersisterrelationship', 'therapist', 'wifehusbandrelationship']"
From Justin to Kelly,3.0,"['Comedy', 'Romance']","['BrandonHenschel', 'GregSiff', 'JustinGuarini', 'KellyClarkson']",31246,Robert Iscove,['musical']
Girl 6,5.7,['Comedy'],"['IsaiahWashington', 'JeniferLewis', 'SpikeLee', 'TheresaRandle']",61752,Spike Lee,"['actress', 'independentfilm', 'masturbation', 'neighbor', 'phonesex']"
In the Cut,4.6,"['Mystery', 'Thriller']","['JenniferJasonLeigh', 'MarkRuffalo', 'MegRyan', 'NickDamici']",10944,Jane Campion,"['eroticism', 'suspense', 'womandirector']"
Two Lovers,6.6,"['Drama', 'Romance']","['GwynethPaltrow', 'IsabellaRossellini', 'JoaquinPhoenix', 'VinessaShaw']",10362,James Gray,"['loveofoneslife', 'neighbor']"
Last Orders,6.0,"['Comedy', 'Drama']","['BobHoskins', 'DavidHemmings', 'MichaelCaine', 'TomCourtenay']",14778,Fred Schepisi,"['ashes', 'basedonnovel', 'death', 'deathofafriend', 'flashback', 'friends', 'friendship', 'grief', 'independentfilm', 'lastwillandtestament', 'life', 'malefriendship', 'memory', 'missedopportunity', 'mothersonrelationship', 'warveteran']"
괴물,6.7,"['Drama', 'Horror', 'ScienceFiction']","['BaeDoona', 'KoAh-sung', 'ParkHae-il', 'SongKang-ho']",1255,Bong Joon-ho,"['archer', 'bravery', 'daughter', 'family', 'formaldehyde', 'mobilephone', 'pollution', 'river', 'sewerage', 'snackbar']"
The Pursuit of D.B. Cooper,6.8,"['Adventure', 'Crime', 'Thriller']","['EdFlanders', 'KathrynHarrold', 'RobertDuvall', 'TreatWilliams']",45226,Roger Spottiswoode,['']
Ravenous,6.9,"['Comedy', 'Horror', 'Thriller', 'Western']","['DavidArquette', 'GuyPearce', 'JeremyDavies', 'RobertCarlyle']",10212,Antonia Bird,"['americanmexicanwar', 'army', 'camp', 'cannibal', 'cave', 'chase', 'cliff', 'cooking', 'fort', 'madness', 'militaryoutpost', 'murder', 'nudity', 'snow', 'soldier', 'stranger', 'survival', 'violence', 'vomitingblood', 'wendigo', 'winter', 'womandirector']"
Charlie Bartlett,6.5,"['Comedy', 'Drama']","['AntonYelchin', 'HopeDavis', 'KatDennings', 'RobertDowneyJr.']",8669,Jon Poll,"['advice', 'cleverness', 'depression', 'drama', 'drugaddiction', 'girlfriend', 'highschool', 'independentfilm', 'medicine', 'newlove', 'privateschool', 'psychiatrist', 'schoolbus', 'schoolperformance', 'suicideattempt', 'teenagecrush', 'toilet']"
La grande bellezza,7.3,"['Comedy', 'Drama']","['CarloBuccirosso', 'CarloVerdone', 'SabrinaFerilli', 'ToniServillo']",179144,Paolo Sorrentino,"['alcohol', 'art', 'artist', 'basedonnovel', 'beauty', 'birthday', 'church', 'drug', 'love', 'nightclub', 'nudity', 'party', 'rome', 'vatican']"
The Dangerous Lives of Altar Boys,6.4,"['Comedy', 'Drama']","['EmileHirsch', 'JodieFoster', 'KieranCulkin', 'VincentDOnofrio']",16857,Peter Care,['independentfilm']
Stoker,6.5,"['Drama', 'Horror', 'Thriller']","['DermotMulroney', 'MatthewGoode', 'MiaWasikowska', 'NicoleKidman']",86825,Park Chan-wook,['mystery']
2046,6.9,"['Drama', 'Fantasy', 'Romance', 'ScienceFiction']","['FayeWong', 'TakuyaKimura', 'TonyLeungChiu-Wai', 'ZhangZiyi']",844,Wong Kar-wai,"['android', 'author', 'basedonnovel', 'break-up', 'extramaritalaffair', 'freelove', 'hongkong', 'hotel', 'hotelroom', 'illegalprostitution', 'jealousy', 'kungfu', 'loveofoneslife', 'lovesickness', 'murder', 'photographicmemory', 'restart', 'secretlove', 'sexuality', 'singapur', 'soulmates', 'unsociability']"
Married Life,6.1,"['Crime', 'Drama', 'Romance']","['ChrisCooper', 'PatriciaClarkson', 'PierceBrosnan', 'RachelMcAdams']",8060,Ira Sachs,"['childhoodfriends', 'deceivedhusband', 'deceivedwife', 'friendship', 'jealousy', 'lover(female)', 'restaurant', 'sex', 'wedding', 'wife', 'witnesstomurder']"
Duma,6.9,"['Adventure', 'Drama', 'Family']","['AlexMichaeletos', 'CampbellScott', 'MaryMakhatho', 'NthabisengKenoshi']",15907,Carroll Ballard,"['adolescence', 'bully', 'bullying', 'cheetah', 'kidsandfamily', 'lion', 'lossoffather', 'rescue', 'southafrica', 'wildanimal', 'youngboy']"
Ondine,6.5,"['Drama', 'Romance']","['AlicjaBachleda-Curuś', 'AlisonBarry', 'ColinFarrell', 'DervlaKirwan']",38448,Neil Jordan,"['alcohol', 'fishingnet', 'mermaid', 'selkie', 'weddingdress']"
Brother,6.8,"['Crime', 'Drama', 'Thriller']","['ClaudeMaki', 'OmarEpps', 'SusumuTerajima', 'TakeshiKitano']",327,Takeshi Kitano,"['assassination', 'brotherbrotherrelationship', 'cultureclash', 'drugdealer', 'femmefatale', 'losangeles', 'loyalty', 'sake', 'warondrugs', 'yakuza']"
Welcome to Collinwood,6.2,['Comedy'],"['IsaiahWashington', 'MichaelJeter', 'SamRockwell', 'WilliamH.Macy']",9260,Anthony Russo,"['heist', 'innercity', 'remake', 'safe']"
Critical Care,6.1,"['Comedy', 'Drama']","['AlbertBrooks', 'HelenMirren', 'JamesSpader', 'KyraSedgwick']",61337,Sidney Lumet,"['halfsister', 'hospital', 'nun', 'satire']"
The Life Before Her Eyes,6.1,"['Drama', 'Mystery', 'Thriller']","['EvaAmurriMartino', 'EvanRachelWood', 'GabrielleBrennan', 'UmaThurman']",13079,Vadim Perelman,['suspense']
Darling Companion,5.3,"['Drama', 'Romance']","['DianeKeaton', 'DianneWiest', 'KevinKline', 'SamShepard']",89325,Lawrence Kasdan,['aftercreditsstinger']
Trade,6.8,"['Drama', 'Thriller']","['AlicjaBachleda-Curuś', 'CesarRamos', 'KevinKline', 'PaulinaGaitán']",4170,Marco Kreuzpaintner,"['border', 'brother', 'brothersisterrelationship', 'criminal', 'humantrafficking', 'independentfilm', 'insurancesalesman', 'mexicocity', 'punter', 'rescue', 'sex', 'sister', 'support', 'unitedstates–mexicobarrier', 'usa']"
Sorstalanság,6.5,"['Drama', 'War']","['BálintPéntek', 'BélaDóra', 'MarcellNagy', 'ÁronDimény']",41508,Lajos Koltai,"['budapest', 'concentrationcamp', 'hungary', 'worldwarii']"
Breakfast of Champions,5.2,['Comedy'],"['AlbertFinney', 'BarbaraHershey', 'BruceWillis', 'NickNolte']",12479,Alan Rudolph,"['author', 'extramaritalaffair', 'success', 'wifehusbandrelationship']"
三枪拍案惊奇,4.8,"['Comedy', 'Drama', 'Thriller']","['NiDahong', 'SunHonglei', 'XiaoShenYang', 'YanNi']",44555,Zhang Yimou,['']
Cypher,6.7,"['Mystery', 'ScienceFiction', 'Thriller']","['JeremyNortham', 'LucyLiu', 'NigelBennett', 'TimothyWebber']",10133,Vincenzo Natali,"['company', 'conspiracy', 'corporatecrime', 'dishonesty', 'disorder', 'doublelife', 'dystopicfuture', 'espionage', 'femmefatale', 'hiddenidentity', 'industry', 'lie', 'memoryloss', 'mindandsoul', 'mysteriouscharacter', 'powerrelations', 'uncovertruth', 'undercover', 'wife']"
南京!南京!,7.6,"['Drama', 'History', 'War']","['GaoYuanyuan', 'HideoNakaizumi', 'JohnPaisley', 'LiuYe']",21345,Lu Chuan,"['duringcreditsstinger', 'imperialjapan', 'japanesearmy', 'massacre', 'massmurder', 'sinojapanesewar', 'warcrimes', 'warvictim']"
兔侠传奇,3.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']","['JonHeder', 'MichaelClarkeDuncan', 'RebeccaBlack', 'TomArnold']",173931,Lijun Sun,['']
Space Battleship Yamato,6.3,['ScienceFiction'],"['HiroyukiIkeuchi', 'MeisaKuroki', 'TakuyaKimura', 'ToshirōYanagiba']",61984,Takashi Yamazaki,['']
5 Days of War,5.8,"['Drama', 'War']","['AndyGarcía', 'DeanCain', 'RupertFriend', 'ValKilmer']",50601,Renny Harlin,"['georgiaeurope', 'interpreter', 'journalist', 'warzone']"
Triangle,6.9,['Horror'],"['EmmaLung', 'LiamHemsworth', 'MelissaGeorge', 'RachaelCarpani']",26466,Christopher Smith,"['attemptedstrangulation', 'autism', 'ax', 'axemurder', 'blood', 'caribbean', 'florida', 'ghostship', 'heavyrain', 'key', 'maskedkiller', 'murder', 'ocean', 'ship', 'singlemother', 'storm', 'throatslitting', 'timeloop', 'yacht']"
10 Days in a Madhouse,4.3,['Drama'],"['CarolineBarry', 'ChristopherLambert', 'JuliaChantrey', 'KellyLeBrock']",345003,Timothy Hines,"['insaneasylum', 'reporter', 'undercover']"
Heaven is for Real,6.0,['Drama'],"['ConnorCorum', 'GregKinnear', 'KellyReilly', 'ThomasHadenChurch']",236751,Randall Wallace,"['basedonnovel', 'basedontrueevents', 'faith']"
Snatch,7.7,"['Crime', 'Thriller']","['BradPitt', 'DennisFarina', 'JasonStatham', 'VinnieJones']",107,Guy Ritchie,"['bareknuckleboxing', 'cockneyaccent', 'diamond', 'gypsy', 'pig', 'pikey', 'receivingofstolengoods', 'slang', 'sport', 'trailerpark']"
Dancin' It's On,4.3,"['Drama', 'Romance']","['ChehonWespi-Tschopp', 'DavidWinters', 'GaryDaniels', 'WitneyCarson']",357837,David Winters,"['competition', 'danceteacher', 'dancing', 'florida', 'hotel']"
Pet Sematary,6.4,"['Drama', 'Horror']","['BradGreenquist', 'DaleMidkiff', 'DeniseCrosby', 'FredGwynne']",8913,Mary Lambert,"['burialground', 'coffin', 'deadcat', 'deadlover', 'deathofpatient', 'flashback', 'funeral', 'ghost', 'graverobbing', 'grief', 'headinjury', 'hitbytruck', 'indianburialground', 'lossofpet', 'mothersonrelationship', 'newneighbor', 'pet', 'petcemetery', 'womandirector']"
まあだだよ,7.5,['Drama'],"['GeorgeTokoro', 'HisashiIgawa', 'KyôkoKagawa', 'TatsuoMatsumura']",13889,Akira Kurosawa,['']
The Cry of the Owl,5.5,['Drama'],"['CarolineDhavernas', 'JamesGilbert', 'JuliaStiles', 'PaddyConsidine']",18530,Jamie Thraves,['suspense']
三城记,6.3,"['Drama', 'History', 'Romance']","['JingBoran', 'LauChing-Wan', 'QinHailu', 'TangWei']",358451,Mabel Cheung,['womandirector']
Gremlins,6.9,"['Comedy', 'Fantasy', 'Horror']","['HoytAxton', 'PhoebeCates', 'PollyHolliday', 'ZachGalligan']",927,Joe Dante,"['banking', 'barsandrestaurants', 'chainsaw', 'departmentstore', 'fur', 'gremlin', 'holiday', 'humananimalrelationship', 'kidsandfamily', 'midnight', 'monster', 'pet', 'puppet', 'salesperson', 'skunk', 'smalltown', 'sunlight', 'ymca']"
